TARGET,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
0,2,2,0,5,1,5,83,1,1,1,2,2,986,1256,3,1,0,1,2,0.785,0.3333,0,0,1,0.3333,2,0,1
0,0,0,0,0,9999,0,51,8,0,2,2,11,22245,43039,15,0,0,6,7,0.5169,0.875,0,0,0,0.6875,0,0,0.1818
0,0,0,0,3,1,1,314,14,0,0,3,3,7582,17098,7,1,0,0,0,0.4434,0.3,2,0,1,0.3,0,1,1
0,0,0,0,2,2,4,20,5,0,2,3,2,863,1000,2,0,0,2,2,0.863,0.6667,0,0,0,0.6667,0,0,1.5
0,1,1,0,1,2,3,82,6,0,1,1,3,2979,2979,3,1,1,1,1,1,0.5,0,1,2,0.75,2,1,0.3333
0,0,0,0,1,6,3,414,4,0,1,2,13,28100,59928,22,0,0,7,8,0.4689,0.6522,2,0,4,0.5652,0,1,0.1538
0,0,0,0,4,1,1,375,6,0,2,7,11,30102,32257,12,0,0,8,8,0.9332,0.8462,0,0,0,0.8462,0,0,0.6364
0,0,0,0,2,1,3,330,4,0,1,4,21,60393,100435,42,0,0,7,13,0.6013,0.5625,2,0,1,0.4375,0,1,0.1905
0,0,0,0,2,1,7,129,6,0,3,7,11,32933,44135,22,0,0,4,6,0.7462,0.8261,0,0,1,0.4783,0,0,0.6364
0,0,0,0,0,8,0,13,13,0,0,1,1,913,924,1,0,0,1,1,0.9881,1,0,0,0,1,0,0,1
0,0,0,0,2,1,1,103,4,0,5,6,6,27102,32985,8,0,0,4,4,0.8216,0.875,0,0,0,0.75,0,0,1
0,4,2,1,2,1,5,380,29,0,0,0,2,921,1250,6,9,0,0,1,0.7368,0.1333,0,0,10,0.1333,2,0,0
1,1,1,0,2,0,3,286,6,0,2,6,6,26853,33562,5,6,2,3,4,0.8001,0.1538,1,5,6,0.4615,5,5,1
0,0,0,0,2,0,1,290,3,1,1,2,5,5307,25626,5,0,0,1,1,0.2071,0.6667,0,0,0,0.8333,0,0,0.4
0,0,0,0,0,7,1,201,13,0,0,6,7,44456,49825,16,0,0,5,5,0.8922,0.6875,0,0,0,0.4375,0,0,0.8571
0,0,0,0,4,1,0,188,17,0,0,3,14,30021,46475,19,1,1,6,8,0.646,0.625,0,1,1,0.5833,1,1,0.2143
0,0,0,0,4,1,6,100,4,0,2,4,5,2524,2997,9,0,0,2,3,0.8422,0.6,0,0,0,0.5,0,0,0.8
0,1,0,1,2,3,4,187,5,0,1,1,10,20936,40688,14,13,0,5,5,0.5145,0.3571,0,0,13,0.3571,0,0,0.1
1,0,0,0,0,15,0,175,25,0,0,0,10,36424,61036,17,1,0,4,5,0.5968,0.6111,1,0,1,0.5556,0,0,0
0,0,0,0,0,8,2,98,11,0,1,2,7,3814,6431,13,1,0,3,5,0.5931,0.6429,0,0,1,0.5,0,0,0.2857
0,1,1,0,0,17,0,85,2,1,1,1,3,587,1102,3,3,1,1,1,0.5327,0.125,0,2,5,0.375,2,2,0.3333
0,1,0,0,1,1,0,169,1,1,1,2,10,14690,46727,14,0,0,0,1,0.3144,0.5,3,0,3,0.625,0,2,0.2
0,1,0,1,2,3,3,28,3,2,3,8,7,39971,43295,10,0,0,5,5,0.9232,0.9091,0,0,0,0.6364,0,0,1.1429
1,2,2,0,5,0,6,177,8,0,1,7,9,56432,75953,19,1,1,4,7,0.743,0.381,3,1,2,0.4286,2,2,0.7778
1,8,7,0,0,23,1,129,16,0,0,2,3,8526,9602,1,2,2,3,3,0.8879,0,0,2,2,0.75,9,2,0.6667
0,0,0,0,2,3,0,205,4,0,3,3,13,57088,69893,21,0,0,7,11,0.8168,0.6818,0,0,1,0.5909,0,0,0.2308
1,1,0,1,8,1,6,168,7,0,1,4,6,19415,35027,9,16,0,3,4,0.5543,0.1481,3,2,18,0.2222,2,4,0.6667
0,4,4,0,5,1,12,148,6,0,2,3,7,7669,10219,18,1,0,3,3,0.7505,0.4545,2,2,10,0.3182,2,3,0.4286
0,0,0,0,2,2,1,201,9,0,1,2,7,23879,46223,15,0,0,2,3,0.5166,0.625,0,0,0,0.4375,0,0,0.2857
1,0,0,0,1,6,2,129,8,0,1,3,14,15335,26706,23,0,0,4,7,0.5742,0.48,3,0,0,0.56,0,0,0.2143
0,0,0,0,2,1,0,95,3,1,4,5,13,36007,55804,15,1,0,5,7,0.6452,0.6087,0,1,1,0.5652,1,1,0.3846
1,6,3,0,1,0,0,59,8,0,2,3,3,706,716,4,2,1,2,2,0.986,0.5,0,1,2,0.5,4,1,1
0,2,0,1,2,2,1,129,5,0,5,7,13,23210,25638,21,2,1,9,10,0.9053,0.625,0,1,2,0.5417,1,1,0.5385
1,2,2,0,8,1,9,96,3,1,1,1,1,698,630,3,2,2,1,1,1.1079,0.4,0,2,2,0.2,3,2,1
0,0,0,0,4,1,4,113,2,1,8,11,16,31457,48222,26,0,0,3,5,0.6523,0.5862,0,0,1,0.5517,0,0,0.6875
0,4,3,1,2,0,3,250,87,0,0,0,3,128,5128,3,2,2,1,1,0.025,0.4,0,2,4,0.6,3,2,0
0,5,4,0,2,1,4,117,7,0,2,5,4,15401,16445,17,1,0,1,2,0.9365,0.3,1,2,5,0.2,6,2,1.25
0,0,0,0,3,1,0,52,3,1,3,6,9,6576,7095,8,0,0,6,6,0.9268,0.8889,0,0,0,1,0,0,0.6667
0,8,3,1,10,1,18,81,3,2,7,12,9,13361,13449,18,0,0,5,5,0.9935,0.65,0,0,0,0.45,0,0,1.3333
0,0,0,0,0,15,1,304,4,0,1,4,9,25577,37193,19,0,0,4,5,0.6877,0.55,0,0,0,0.45,0,0,0.4444
0,0,0,0,0,10,2,283,2,2,8,9,18,26800,69001,26,0,0,1,1,0.3884,0.6552,3,0,0,0.6207,0,0,0.5
0,7,5,0,3,1,3,27,26,0,0,0,1,6911,9670,1,1,1,0,1,0.7147,0,2,1,2,0.5,4,2,0
0,0,0,0,5,0,9,91,4,0,5,7,4,3490,3917,20,0,0,4,4,0.891,0.5714,0,0,0,0.1905,0,0,1.75
0,0,0,0,0,9999,0,232,8,0,1,3,7,1891,4704,6,0,0,1,3,0.402,0.7143,0,0,0,1,0,0,0.4286
0,5,0,0,2,1,1,121,8,0,1,1,5,17617,41278,8,0,0,2,3,0.4268,0.4,0,0,4,0.5,0,0,0.2
0,7,5,0,3,1,1,129,33,0,0,0,2,1699,1714,6,7,3,2,2,0.9912,0.0769,0,7,12,0.1538,10,7,0
0,0,0,0,1,4,7,334,4,0,1,4,5,15067,18627,8,4,3,3,3,0.8089,0.2,3,4,6,0.3333,4,5,0.8
0,4,2,0,2,0,2,339,1,2,4,6,6,16719,20837,20,2,1,2,3,0.8024,0.375,0,1,4,0.25,1,1,1
1,2,2,0,2,0,4,248,7,0,3,7,14,30265,44493,28,0,0,7,9,0.6802,0.6333,2,0,1,0.4667,2,1,0.5
0,0,0,0,5,1,0,44,2,1,2,15,17,45865,85747,19,0,0,5,7,0.5349,0.7826,0,0,0,0.7391,0,0,0.8824
0,6,0,0,2,0,1,210,30,0,0,0,7,4469,7879,11,0,0,2,3,0.5672,0.75,0,0,0,0.5833,0,0,0
0,3,2,0,6,1,2,98,15,0,0,1,6,17344,42813,9,1,0,3,3,0.4051,0.6364,2,0,1,0.5455,2,1,0.1667
0,0,0,0,3,1,4,22,3,1,2,3,3,11668,19507,2,1,0,1,2,0.5981,0.5,0,0,0,0.75,0,0,1
0,0,0,0,0,8,2,51,8,0,2,3,4,1180,2049,9,0,0,1,3,0.5759,0.7,0,0,0,0.4,0,0,0.75
0,0,0,0,2,0,1,115,2,2,3,11,8,24697,27934,24,0,0,4,5,0.8841,0.5862,2,0,1,0.2759,0,1,1.375
0,2,1,1,8,1,3,107,8,0,4,5,12,35444,36088,14,0,0,9,9,0.9822,0.6471,1,0,0,0.7059,1,0,0.4167
0,0,0,0,0,9999,0,225,4,0,2,3,14,33070,58204,22,0,0,4,4,0.5682,0.8261,0,0,0,0.6087,0,0,0.2143
0,0,0,0,0,9999,0,372,10,0,1,2,17,69212,115197,26,0,0,4,7,0.6008,0.6667,0,0,0,0.6296,0,0,0.1176
1,0,0,0,8,1,10,124,4,0,6,9,12,44329,47349,22,0,0,8,9,0.9362,0.7083,1,0,2,0.5,0,0,0.75
0,9,5,0,0,11,0,98,53,0,0,0,1,0,0,3,2,0,0,0,0,0.2,0,0,2,0.2,4,0,0
0,0,0,0,6,0,8,254,7,0,1,5,24,32214,109646,30,0,0,3,4,0.2938,0.7813,0,0,0,0.75,0,0,0.2083
0,0,0,0,2,3,2,230,3,1,4,5,19,28279,68717,27,0,0,2,7,0.4115,0.6333,2,0,1,0.6333,0,1,0.2632
1,4,4,0,13,1,27,42,2,1,2,3,3,5066,6354,3,1,0,2,2,0.7973,0.4286,0,0,1,0.4286,4,0,1
0,0,0,0,3,1,1,104,3,1,3,10,9,19768,25494,13,0,0,4,8,0.7754,0.75,0,0,1,0.5625,0,0,1.1111
0,0,0,0,2,1,4,270,3,1,2,4,7,20200,27703,13,0,0,2,3,0.7292,0.7143,0,1,5,0.5,1,1,0.5714
0,0,0,0,0,9999,0,277,9,0,1,1,11,22916,41505,14,0,0,2,5,0.5521,0.7333,0,0,0,0.7333,0,0,0.0909
0,3,2,1,9,2,6,285,2,2,5,6,9,13541,19123,12,7,1,4,5,0.7081,0.3333,0,1,8,0.4286,2,1,0.6667
0,2,1,0,7,2,1,226,5,0,1,4,6,11493,11987,13,1,1,3,4,0.9588,0.2667,3,1,2,0.4,3,2,0.6667
1,1,0,0,4,1,2,93,20,0,0,2,19,40795,67014,24,2,2,7,7,0.6088,0.5172,3,4,6,0.6552,4,5,0.1053
0,0,0,0,7,1,2,152,2,1,2,4,4,7049,7911,9,1,1,2,3,0.891,0.3077,0,1,3,0.3077,1,1,1
0,1,0,1,5,1,3,183,3,3,8,8,13,51614,70106,27,0,0,7,8,0.7362,0.6071,0,0,0,0.4643,0,0,0.6154
1,0,0,0,3,0,2,446,9,0,2,9,26,65165,126906,33,0,0,5,7,0.5135,0.7838,3,0,0,0.7027,0,0,0.3462
0,1,0,1,2,1,0,187,19,0,0,1,3,2370,2998,5,5,2,1,2,0.7905,0.2,0,3,6,0.3,3,3,0.3333
1,0,0,0,1,2,1,337,11,0,2,4,17,45492,44666,14,0,0,9,12,1.0185,0.3103,3,0,1,0.5862,0,0,0.2353
0,3,1,0,5,1,4,246,2,1,1,1,2,149,149,3,2,0,1,1,1,0.1429,2,0,4,0.2857,1,1,0.5
0,0,0,0,0,11,1,185,11,0,1,4,11,16167,69969,20,0,0,0,2,0.2311,0.75,0,0,1,0.55,0,0,0.3636
1,1,1,0,1,1,0,134,3,1,3,7,16,35996,42432,18,0,0,9,11,0.8483,0.3846,3,0,0,0.6154,0,0,0.4375
0,0,0,0,5,1,2,156,10,0,2,8,20,10641,55166,28,0,0,1,1,0.1929,0.8929,0,0,2,0.7143,0,0,0.4
1,5,3,0,4,1,11,89,3,1,3,6,7,13106,14161,14,0,0,4,5,0.9255,0.375,2,1,2,0.4375,6,2,0.8571
0,0,0,0,1,0,0,109,12,0,1,6,11,25817,51304,20,0,0,3,4,0.5032,0.5909,0,0,0,0.5,0,0,0.5455
0,0,0,0,1,1,2,280,17,0,0,2,18,68634,95766,33,0,0,6,8,0.7167,0.7273,0,0,1,0.5455,0,0,0.1111
0,1,0,0,0,9999,0,251,5,0,2,3,6,50305,73498,11,4,3,3,4,0.6844,0.5333,0,3,7,0.4,3,3,0.5
1,0,0,0,4,2,3,118,11,0,1,1,2,1087,1091,4,1,1,2,2,0.9963,0.5,0,1,1,0.3333,1,1,0.5
0,7,5,1,2,1,0,138,15,0,0,3,4,14505,23518,7,1,0,0,1,0.6168,0.6667,0,0,2,0.4444,5,0,0.75
0,0,0,0,2,0,2,231,4,0,1,1,1,851,890,6,0,0,1,1,0.9562,0.2857,0,0,2,0.1429,0,0,1
0,0,0,0,4,0,1,148,5,0,3,4,13,15456,18561,17,6,5,3,3,0.8327,0.3913,3,7,10,0.5652,7,8,0.3077
1,0,0,0,10,1,3,87,3,1,2,4,11,16223,19849,13,0,0,4,7,0.8173,0.6,2,0,1,0.7333,0,1,0.3636
0,5,5,0,2,1,5,114,5,0,2,2,3,7852,9221,4,0,0,2,2,0.8515,0.75,0,0,0,0.75,3,0,0.6667
0,0,0,0,1,1,2,162,5,0,1,3,6,23139,43352,9,0,0,3,3,0.5337,0.6364,0,0,1,0.5455,0,0,0.5
0,2,0,0,4,2,3,151,5,0,3,4,13,42981,52684,24,1,1,8,9,0.8158,0.3704,3,1,6,0.4815,1,1,0.3077
0,0,0,0,4,1,11,258,5,0,4,7,6,14164,15874,23,0,0,4,4,0.8923,0.5,0,0,1,0.25,0,0,1.1667
1,4,1,1,2,0,5,201,22,0,0,1,1,0,0,2,1,0,0,0,0,0.3333,0,0,2,0.3333,1,0,1
0,3,3,0,0,11,1,295,10,0,1,1,3,903,1004,5,1,1,1,1,0.8994,0.3333,2,1,2,0.5,3,2,0.3333
1,3,1,0,4,1,3,234,30,0,0,0,5,11288,21709,6,3,2,3,4,0.52,0.1818,2,4,5,0.4545,5,5,0
0,2,0,0,2,2,5,165,10,0,1,5,10,4664,15497,17,0,0,0,2,0.301,0.5714,3,0,3,0.4762,1,0,0.5
0,0,0,0,1,0,3,116,7,0,1,3,5,18696,21509,8,0,0,2,2,0.8692,0.4,0,1,4,0.5,1,1,0.6
0,0,0,0,2,4,1,121,13,0,0,4,7,26115,39464,19,2,0,3,4,0.6617,0.381,3,0,7,0.3333,0,0,0.5714
0,1,0,0,0,9999,0,228,77,0,0,0,1,509,2300,5,0,0,0,0,0.2213,0.1667,0,0,0,0.1667,0,0,0
0,1,0,1,1,5,2,178,19,0,0,1,5,17874,24691,9,12,1,2,3,0.7239,0.3636,0,1,13,0.2273,1,1,0.2
0,3,3,0,6,1,2,63,8,0,2,4,6,20248,27636,11,0,0,3,3,0.7327,0.6667,0,0,0,0.5,1,0,0.6667
0,1,0,0,0,13,1,122,16,0,0,2,7,6929,24076,10,0,0,3,4,0.2878,0.8333,0,0,0,0.5833,0,0,0.2857
0,0,0,0,3,2,1,352,2,1,5,6,16,21883,56866,24,0,0,3,4,0.3848,0.5926,0,0,0,0.5926,0,0,0.375
0,0,0,0,3,1,1,237,4,0,2,3,7,30625,36417,5,1,1,5,6,0.841,0.4444,1,1,1,0.7778,1,1,0.4286
0,2,1,1,5,1,3,495,3,1,1,2,5,3363,4561,9,12,5,2,2,0.7373,0.0833,0,6,13,0.2083,6,6,0.4
0,1,1,0,1,1,0,200,12,0,1,4,6,8821,9987,11,0,0,4,4,0.8832,0.5,3,0,3,0.5,1,0,0.6667
1,5,5,0,0,8,0,118,4,0,6,7,8,17200,23793,11,3,1,5,6,0.7229,0.6875,0,2,4,0.5,4,2,0.875
0,0,0,0,4,2,3,167,5,0,2,8,10,53343,59851,22,0,0,8,8,0.8913,0.3846,3,0,0,0.3846,0,0,0.8
0,0,0,0,1,1,2,124,2,1,2,4,10,8388,14898,23,3,1,3,4,0.563,0.3448,1,1,7,0.3448,1,1,0.4
0,2,0,1,2,0,5,198,11,0,1,5,3,14726,20226,14,1,0,2,3,0.7281,0.5882,0,0,1,0.1765,0,0,1.6667
0,1,0,0,0,13,3,234,12,0,1,2,10,24517,41285,28,0,0,5,6,0.5938,0.7241,0,1,2,0.3448,2,1,0.2
1,0,0,0,1,1,0,74,35,0,0,0,4,4963,12283,4,3,2,2,2,0.4041,0.1429,2,4,7,0.5714,4,5,0
0,2,2,0,2,0,15,132,8,0,3,7,16,42597,72970,22,0,0,6,8,0.5838,0.6071,0,0,0,0.5714,1,0,0.4375
0,5,2,1,1,2,0,124,2,1,3,6,9,54425,59421,12,15,7,5,5,0.9159,0.3448,0,7,16,0.3103,8,7,0.6667
0,0,0,0,6,1,9,94,15,0,0,5,6,418,21018,14,0,0,0,0,0.0199,0.8571,0,0,0,0.4286,0,0,0.8333
0,1,1,0,0,14,1,6,6,0,1,1,1,1612,5000,1,0,0,0,0,0.3224,1,0,0,0,1,0,0,1
0,1,1,0,3,4,0,199,4,0,3,8,22,35116,48813,37,0,0,6,8,0.7194,0.561,3,0,1,0.5366,1,1,0.3636
0,0,0,0,1,2,0,119,8,0,5,8,18,43932,64819,30,0,0,8,10,0.6778,0.6667,0,0,1,0.5455,0,0,0.4444
0,0,0,0,0,18,0,20,8,0,1,6,6,7062,11606,6,0,0,3,3,0.6085,1,0,0,0,1,0,0,1
0,0,0,0,2,1,2,256,5,0,2,5,18,46211,62197,31,0,0,7,8,0.743,0.6667,0,0,2,0.5455,0,0,0.2778
0,0,0,0,1,2,3,205,1,3,7,13,15,18956,30727,17,0,0,7,8,0.6169,0.6087,0,0,1,0.6522,0,0,0.8667
0,0,0,0,0,7,1,147,7,0,3,12,11,8754,21073,19,1,0,1,1,0.4154,0.7826,0,0,1,0.4783,0,0,1.0909
0,1,1,0,15,1,6,322,11,0,1,2,8,8059,33774,20,0,0,1,2,0.2386,0.7143,0,1,1,0.381,2,1,0.25
0,0,0,0,0,9999,0,221,20,0,0,1,3,7462,8290,3,0,0,2,2,0.9001,1,0,0,0,1,0,0,0.3333
1,3,2,0,0,11,0,90,9,0,1,3,3,4722,5462,8,2,1,2,2,0.8645,0.1667,2,2,4,0.25,3,3,1
0,2,2,0,9,1,7,148,2,1,2,3,13,35712,43749,17,0,0,5,5,0.8163,0.7895,0,0,0,0.6842,2,0,0.2308
0,1,0,0,0,22,1,152,4,0,1,2,1,24,49,8,1,1,0,0,0.4898,0.6,0,1,6,0.1,1,1,2
1,4,2,1,3,3,2,221,3,1,1,1,3,6918,10212,9,5,2,1,2,0.6774,0.3333,0,2,5,0.2,3,2,0.3333
0,1,1,0,4,0,3,214,20,0,0,1,4,18547,21431,8,4,1,3,3,0.8654,0.25,1,2,6,0.3333,2,2,0.25
0,0,0,0,0,18,1,241,17,0,0,2,5,2887,4011,9,0,0,3,3,0.7198,0.3333,2,1,3,0.5556,1,2,0.4
0,0,0,0,2,1,7,158,4,0,7,7,13,21588,52007,23,0,0,2,2,0.4151,0.6154,0,0,0,0.5,0,0,0.5385
1,1,1,0,4,1,5,152,11,0,1,1,3,9584,10778,2,2,0,2,2,0.8892,0.25,2,1,2,0.75,1,2,0.3333
0,0,0,0,1,0,0,246,4,0,2,3,13,9013,18852,20,0,0,4,4,0.4781,0.5417,1,1,2,0.5417,1,1,0.2308
0,0,0,0,3,0,6,142,13,0,0,1,1,0,0,2,1,0,0,0,0,0.6667,0,0,1,0.3333,0,0,1
0,0,0,0,0,9999,0,240,12,0,3,7,9,33724,55877,15,0,0,3,4,0.6035,0.7778,0,0,1,0.5,0,0,0.7778
0,0,0,0,5,1,8,218,4,0,2,4,9,22196,22874,18,0,0,7,7,0.9704,0.7368,0,0,0,0.4737,0,0,0.4444
1,0,0,0,1,6,4,102,25,0,0,0,14,34506,37617,17,3,2,9,11,0.9173,0.4348,3,4,4,0.6087,4,4,0
0,1,0,1,7,1,2,302,4,0,2,4,12,11100,29317,23,15,1,5,8,0.3786,0.2895,3,1,18,0.3158,1,3,0.3333
0,2,0,1,1,5,1,101,35,0,0,0,4,6651,7302,1,7,4,2,2,0.9108,0,2,4,8,0.4444,4,5,0
0,2,0,0,4,1,3,180,12,0,1,2,12,33783,40285,16,0,0,6,7,0.8386,0.7368,0,0,1,0.6316,0,0,0.1667
0,0,0,0,1,1,1,108,2,1,2,3,7,8342,42775,15,0,0,1,1,0.195,0.7059,0,0,0,0.4118,0,0,0.4286
1,0,0,0,3,0,1,90,16,0,0,2,3,1457,1501,3,2,0,1,3,0.9707,0.4286,0,0,2,0.4286,0,0,0.6667
1,0,0,0,5,1,3,216,8,0,2,2,19,72107,82531,30,0,0,11,12,0.8737,0.7333,0,0,0,0.6333,0,0,0.1053
