TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
0,001039,6,4,1,3,2,0,175,4,0,1,1,3,2577,2602,13,2,2,3,3,0.9904,0.375,0,3,6,0.1875,6,3,0.3333
0,001078,0,0,0,1,1,3,56,40,0,0,0,3,716,2532,5,0,0,0,0,0.2828,0.19999999999999998,3,1,4,0.6,1,3,0
1,001175,8,5,0,6,1,10,16,4,0,2,4,3,18339,20093,1,1,0,2,3,0.9127,0.25,1,1,1,0.75,7,1,1.3333
0,001181,0,0,0,0,11,0,398,10,0,2,2,10,18103,22163,18,0,0,6,6,0.8168,0.25,3,0,2,0.5,0,2,0.19999999999999998
0,001258,1,0,1,6,0,6,134,6,0,2,2,4,17577,19442,8,8,2,3,3,0.9040999999999999,0.2632,0,2,8,0.2105,2,2,0.5
1,001373,3,1,0,9,0,8,130,52,0,0,0,1,2327,1860,3,4,1,1,1,1.2510999999999999,0,0,1,4,0.1429,3,1,0
0,001402,5,3,1,2,2,2,90,5,0,3,5,4,8102,9450,11,0,0,3,3,0.8573999999999999,0.5294,3,0,0,0.23529999999999998,0,0,1.25
0,001419,0,0,0,5,1,5,185,10,0,1,1,14,43929,65197,29,0,0,5,6,0.6738,0.6897,2,0,1,0.48279999999999995,0,1,0.07139999999999999
0,001437,0,0,0,3,1,0,168,2,1,1,2,8,24269,43783,16,0,0,1,5,0.5542999999999999,0.5,0,0,0,0.44439999999999996,0,0,0.25
0,001482,0,0,0,3,1,0,284,2,1,3,5,6,16173,32884,18,1,0,3,3,0.49179999999999996,0.3333,0,1,1,0.25,1,1,0.8332999999999999
1,001483,1,1,1,2,2,0,124,3,1,4,5,5,5961,5800,5,2,0,4,4,1.0277999999999998,0.5,0,0,2,0.625,0,0,1
0,001498,5,3,0,4,4,2,90,3,1,4,4,5,38892,40752,8,0,0,5,5,0.9543999999999999,0.5556,0,0,0,0.5556,1,0,0.7999999999999999
1,001514,0,0,0,1,3,1,148,10,0,2,6,14,55642,77854,24,0,0,7,9,0.7146999999999999,0.5925999999999999,3,0,0,0.5185,0,0,0.4286
0,001547,0,0,0,0,8,0,32,32,0,0,0,2,2600,2600,1,1,1,1,1,1,0.5,0,1,1,1,1,1,0
0,001548,7,0,1,0,7,1,317,6,0,1,3,8,21476,27826,15,4,1,3,4,0.7717999999999999,0.5499999999999999,0,1,4,0.39999999999999997,3,1,0.375
0,001549,0,0,0,0,,0,218,27,0,0,0,3,4109,6000,9,0,0,1,1,0.6848,0.7777999999999999,0,0,0,0.3333,0,0,0
0,001559,0,0,0,2,1,1,133,19,0,0,2,4,40549,48039,10,0,0,3,3,0.8441,0.5,0,0,0,0.39999999999999997,0,0,0.5
0,001827,2,0,0,5,1,0,128,15,0,0,1,2,6014,9552,12,0,0,1,2,0.6295999999999999,0.0833,2,1,3,0.1667,3,2,0.5
0,001864,0,0,0,5,1,3,204,18,0,0,5,15,78544,117116,21,0,0,7,9,0.6707,0.5,3,0,1,0.6818,0,0,0.3333
0,001890,3,2,0,5,1,6,135,3,1,2,4,4,5756,9199,8,0,0,1,1,0.6256999999999999,0.6,0,0,1,0.39999999999999997,0,0,1
1,001911,3,2,0,5,1,3,124,2,1,4,6,7,14577,21638,12,0,0,4,4,0.6737,0.5333,2,0,2,0.46669999999999995,1,1,0.8571
0,001927,0,0,0,6,1,8,62,6,0,2,2,8,9065,13979,13,0,0,2,2,0.6485,0.7692,0,0,0,0.6154,0,0,0.25
0,001954,3,2,0,21,0,24,181,3,1,2,5,8,7623,14864,17,0,0,2,3,0.5127999999999999,0.5,2,0,1,0.39999999999999997,2,1,0.625
0,002033,0,0,0,3,5,1,84,2,1,3,5,12,23624,45792,19,0,0,4,5,0.5158999999999999,0.75,0,0,0,0.6,0,0,0.41669999999999996
0,002039,1,0,1,0,10,0,239,8,0,3,4,6,56740,62203,16,2,1,3,3,0.9121999999999999,0.47619999999999996,0,1,3,0.28569999999999995,1,1,0.6667
0,002078,3,0,0,5,1,7,116,14,0,0,1,4,187,1113,9,3,3,0,0,0.16799999999999998,0.5,0,3,7,0.3333,3,3,0.25
0,002102,0,0,0,0,15,0,138,27,0,0,0,8,15,7770,16,3,1,0,0,0.0019,0.2727,3,5,8,0.3636,5,8,0
0,002137,2,2,0,5,1,5,83,1,1,1,2,2,986,1256,3,1,0,1,2,0.7849999999999999,0.3333,0,0,1,0.3333,2,0,1
0,002147,0,0,0,0,,0,51,8,0,2,2,11,22245,43039,15,0,0,6,7,0.5168999999999999,0.875,0,0,0,0.6875,0,0,0.1818
0,002156,0,0,0,3,1,1,314,14,0,0,3,3,7582,17098,7,1,0,0,0,0.44339999999999996,0.3,2,0,1,0.3,0,1,1
0,002176,0,0,0,2,2,4,20,5,0,2,3,2,863,1000,2,0,0,2,2,0.863,0.6667,0,0,0,0.6667,0,0,1.5
0,002201,1,1,0,1,2,3,82,6,0,1,1,3,2979,2979,3,1,1,1,1,1,0.5,0,1,2,0.75,2,1,0.3333
0,002304,0,0,0,1,6,3,414,4,0,1,2,13,28100,59928,22,0,0,7,8,0.4689,0.6521999999999999,2,0,4,0.5651999999999999,0,1,0.1538
0,002405,0,0,0,4,1,1,375,6,0,2,7,11,30102,32257,12,0,0,8,8,0.9331999999999999,0.8462,0,0,0,0.8462,0,0,0.6364
0,002456,0,0,0,2,1,3,330,4,0,1,4,21,60393,100435,42,0,0,7,13,0.6013,0.5625,2,0,1,0.4375,0,1,0.19049999999999997
0,002485,0,0,0,2,1,7,129,6,0,3,7,11,32933,44135,22,0,0,4,6,0.7462,0.8261,0,0,1,0.47829999999999995,0,0,0.6364
0,002491,0,0,0,0,8,0,13,13,0,0,1,1,913,924,1,0,0,1,1,0.9881,1,0,0,0,1,0,0,1
0,002534,0,0,0,2,1,1,103,4,0,5,6,6,27102,32985,8,0,0,4,4,0.8216,0.875,0,0,0,0.75,0,0,1
0,002539,4,2,1,2,1,5,380,29,0,0,0,2,921,1250,6,9,0,0,1,0.7367999999999999,0.13329999999999997,0,0,10,0.13329999999999997,2,0,0
1,002596,1,1,0,2,0,3,286,6,0,2,6,6,26853,33562,5,6,2,3,4,0.8000999999999999,0.1538,1,5,6,0.46149999999999997,5,5,1
0,002615,0,0,0,2,0,1,290,3,1,1,2,5,5307,25626,5,0,0,1,1,0.20709999999999998,0.6667,0,0,0,0.8332999999999999,0,0,0.39999999999999997
0,002647,0,0,0,0,7,1,201,13,0,0,6,7,44456,49825,16,0,0,5,5,0.8922,0.6875,0,0,0,0.4375,0,0,0.8571
0,002678,0,0,0,4,1,0,188,17,0,0,3,14,30021,46475,19,1,1,6,8,0.6459999999999999,0.625,0,1,1,0.5832999999999999,1,1,0.2143
0,002687,0,0,0,4,1,6,100,4,0,2,4,5,2524,2997,9,0,0,2,3,0.8422,0.6,0,0,0,0.5,0,0,0.7999999999999999
0,002755,1,0,1,2,3,4,187,5,0,1,1,10,20936,40688,14,13,0,5,5,0.5145,0.3571,0,0,13,0.3571,0,0,0.09999999999999999
1,002767,0,0,0,0,15,0,175,25,0,0,0,10,36424,61036,17,1,0,4,5,0.5968,0.6111,1,0,1,0.5556,0,0,0
0,002782,0,0,0,0,8,2,98,11,0,1,2,7,3814,6431,13,1,0,3,5,0.5931,0.6428999999999999,0,0,1,0.5,0,0,0.28569999999999995
0,002799,1,1,0,0,17,0,85,2,1,1,1,3,587,1102,3,3,1,1,1,0.5327,0.125,0,2,5,0.375,2,2,0.3333
0,002828,1,0,0,1,1,0,169,1,1,1,2,10,14690,46727,14,0,0,0,1,0.31439999999999996,0.5,3,0,3,0.625,0,2,0.19999999999999998
0,002831,1,0,1,2,3,3,28,3,2,3,8,7,39971,43295,10,0,0,5,5,0.9231999999999999,0.9090999999999999,0,0,0,0.6364,0,0,1.1428999999999998
1,002875,2,2,0,5,0,6,177,8,0,1,7,9,56432,75953,19,1,1,4,7,0.743,0.38099999999999995,3,1,2,0.4286,2,2,0.7777999999999999
1,002884,8,7,0,0,23,1,129,16,0,0,2,3,8526,9602,1,2,2,3,3,0.8878999999999999,0,0,2,2,0.75,9,2,0.6667
0,002885,0,0,0,2,3,0,205,4,0,3,3,13,57088,69893,21,0,0,7,11,0.8168,0.6818,0,0,1,0.5909,0,0,0.23079999999999998
1,002940,1,0,1,8,1,6,168,7,0,1,4,6,19415,35027,9,16,0,3,4,0.5542999999999999,0.14809999999999998,3,2,18,0.22219999999999998,2,4,0.6667
0,002986,4,4,0,5,1,12,148,6,0,2,3,7,7669,10219,18,1,0,3,3,0.7505,0.45449999999999996,2,2,10,0.3182,2,3,0.4286
0,003053,0,0,0,2,2,1,201,9,0,1,2,7,23879,46223,15,0,0,2,3,0.5166,0.625,0,0,0,0.4375,0,0,0.28569999999999995
1,003060,0,0,0,1,6,2,129,8,0,1,3,14,15335,26706,23,0,0,4,7,0.5741999999999999,0.48,3,0,0,0.5599999999999999,0,0,0.2143
0,003097,0,0,0,2,1,0,95,3,1,4,5,13,36007,55804,15,1,0,5,7,0.6452,0.6086999999999999,0,1,1,0.5651999999999999,1,1,0.3846
1,003132,6,3,0,1,0,0,59,8,0,2,3,3,706,716,4,2,1,2,2,0.986,0.5,0,1,2,0.5,4,1,1
0,003140,2,0,1,2,2,1,129,5,0,5,7,13,23210,25638,21,2,1,9,10,0.9053,0.625,0,1,2,0.5417,1,1,0.5385
1,003190,2,2,0,8,1,9,96,3,1,1,1,1,698,630,3,2,2,1,1,1.1078999999999999,0.39999999999999997,0,2,2,0.19999999999999998,3,2,1
0,003246,0,0,0,4,1,4,113,2,1,8,11,16,31457,48222,26,0,0,3,5,0.6523,0.5861999999999999,0,0,1,0.5517,0,0,0.6875
0,003373,4,3,1,2,0,3,250,87,0,0,0,3,128,5128,3,2,2,1,1,0.024999999999999998,0.39999999999999997,0,2,4,0.6,3,2,0
0,003390,5,4,0,2,1,4,117,7,0,2,5,4,15401,16445,17,1,0,1,2,0.9365,0.3,1,2,5,0.19999999999999998,6,2,1.25
0,003438,0,0,0,3,1,0,52,3,1,3,6,9,6576,7095,8,0,0,6,6,0.9268,0.8888999999999999,0,0,0,1,0,0,0.6667
0,003612,8,3,1,10,1,18,81,3,2,7,12,9,13361,13449,18,0,0,5,5,0.9934999999999999,0.6499999999999999,0,0,0,0.44999999999999996,0,0,1.3333
0,003637,0,0,0,0,15,1,304,4,0,1,4,9,25577,37193,19,0,0,4,5,0.6877,0.5499999999999999,0,0,0,0.44999999999999996,0,0,0.44439999999999996
0,003638,0,0,0,0,10,2,283,2,2,8,9,18,26800,69001,26,0,0,1,1,0.38839999999999997,0.6551999999999999,3,0,0,0.6206999999999999,0,0,0.5
0,003700,7,5,0,3,1,3,27,26,0,0,0,1,6911,9670,1,1,1,0,1,0.7146999999999999,0,2,1,2,0.5,4,2,0
0,003766,0,0,0,5,0,9,91,4,0,5,7,4,3490,3917,20,0,0,4,4,0.8909999999999999,0.5713999999999999,0,0,0,0.19049999999999997,0,0,1.75
0,003813,0,0,0,0,,0,232,8,0,1,3,7,1891,4704,6,0,0,1,3,0.40199999999999997,0.7142999999999999,0,0,0,1,0,0,0.4286
0,003881,5,0,0,2,1,1,121,8,0,1,1,5,17617,41278,8,0,0,2,3,0.42679999999999996,0.39999999999999997,0,0,4,0.5,0,0,0.19999999999999998
0,003891,7,5,0,3,1,1,129,33,0,0,0,2,1699,1714,6,7,3,2,2,0.9912,0.0769,0,7,12,0.1538,10,7,0
0,003944,0,0,0,1,4,7,334,4,0,1,4,5,15067,18627,8,4,3,3,3,0.8089,0.19999999999999998,3,4,6,0.3333,4,5,0.7999999999999999
0,003961,4,2,0,2,0,2,339,1,2,4,6,6,16719,20837,20,2,1,2,3,0.8023999999999999,0.375,0,1,4,0.25,1,1,1
1,004032,2,2,0,2,0,4,248,7,0,3,7,14,30265,44493,28,0,0,7,9,0.6801999999999999,0.6333,2,0,1,0.46669999999999995,2,1,0.5
0,004049,0,0,0,5,1,0,44,2,1,2,15,17,45865,85747,19,0,0,5,7,0.5348999999999999,0.7826,0,0,0,0.7391,0,0,0.8824
0,004071,6,0,0,2,0,1,210,30,0,0,0,7,4469,7879,11,0,0,2,3,0.5671999999999999,0.75,0,0,0,0.5832999999999999,0,0,0
0,004114,3,2,0,6,1,2,98,15,0,0,1,6,17344,42813,9,1,0,3,3,0.40509999999999996,0.6364,2,0,1,0.5455,2,1,0.1667
0,004207,0,0,0,3,1,4,22,3,1,2,3,3,11668,19507,2,1,0,1,2,0.5981,0.5,0,0,0,0.75,0,0,1
0,004227,0,0,0,0,8,2,51,8,0,2,3,4,1180,2049,9,0,0,1,3,0.5759,0.7,0,0,0,0.39999999999999997,0,0,0.75
0,004284,0,0,0,2,0,1,115,2,2,3,11,8,24697,27934,24,0,0,4,5,0.8841,0.5861999999999999,2,0,1,0.2759,0,1,1.375
0,004296,2,1,1,8,1,3,107,8,0,4,5,12,35444,36088,14,0,0,9,9,0.9822,0.6470999999999999,1,0,0,0.7059,1,0,0.41669999999999996
0,004322,0,0,0,0,,0,225,4,0,2,3,14,33070,58204,22,0,0,4,4,0.5681999999999999,0.8261,0,0,0,0.6086999999999999,0,0,0.2143
0,004323,0,0,0,0,,0,372,10,0,1,2,17,69212,115197,26,0,0,4,7,0.6007999999999999,0.6667,0,0,0,0.6295999999999999,0,0,0.1176
1,004408,0,0,0,8,1,10,124,4,0,6,9,12,44329,47349,22,0,0,8,9,0.9361999999999999,0.7082999999999999,1,0,2,0.5,0,0,0.75
0,004426,9,5,0,0,11,0,98,53,0,0,0,1,0,0,3,2,0,0,0,0,0.19999999999999998,0,0,2,0.19999999999999998,4,0,0
0,004453,0,0,0,6,0,8,254,7,0,1,5,24,32214,109646,30,0,0,3,4,0.29379999999999995,0.7813,0,0,0,0.75,0,0,0.20829999999999999
0,004458,0,0,0,2,3,2,230,3,1,4,5,19,28279,68717,27,0,0,2,7,0.4115,0.6333,2,0,1,0.6333,0,1,0.2632
1,004470,4,4,0,13,1,27,42,2,1,2,3,3,5066,6354,3,1,0,2,2,0.7972999999999999,0.4286,0,0,1,0.4286,4,0,1
0,004506,0,0,0,3,1,1,104,3,1,3,10,9,19768,25494,13,0,0,4,8,0.7754,0.75,0,0,1,0.5625,0,0,1.1111
0,004573,0,0,0,2,1,4,270,3,1,2,4,7,20200,27703,13,0,0,2,3,0.7292,0.7142999999999999,0,1,5,0.5,1,1,0.5713999999999999
0,004599,0,0,0,0,,0,277,9,0,1,1,11,22916,41505,14,0,0,2,5,0.5520999999999999,0.7333,0,0,0,0.7333,0,0,0.0909
0,004626,3,2,1,9,2,6,285,2,2,5,6,9,13541,19123,12,7,1,4,5,0.7081,0.3333,0,1,8,0.4286,2,1,0.6667
0,004693,2,1,0,7,2,1,226,5,0,1,4,6,11493,11987,13,1,1,3,4,0.9588,0.2667,3,1,2,0.39999999999999997,3,2,0.6667
0,004720,1,1,0,1,3,1,90,45,0,0,0,0,0,0,7,0,0,,,0,0.1429,0,0,1,0,1,0,0
1,004734,1,0,0,4,1,2,93,20,0,0,2,19,40795,67014,24,2,2,7,7,0.6087999999999999,0.5172,3,4,6,0.6551999999999999,4,5,0.10529999999999999
0,004806,0,0,0,7,1,2,152,2,1,2,4,4,7049,7911,9,1,1,2,3,0.8909999999999999,0.3077,0,1,3,0.3077,1,1,1
0,004812,1,0,1,5,1,3,183,3,3,8,8,13,51614,70106,27,0,0,7,8,0.7362,0.6071,0,0,0,0.4643,0,0,0.6154
1,004860,0,0,0,3,0,2,446,9,0,2,9,26,65165,126906,33,0,0,5,7,0.5135,0.7837999999999999,3,0,0,0.7027,0,0,0.34619999999999995
0,004973,1,0,1,2,1,0,187,19,0,0,1,3,2370,2998,5,5,2,1,2,0.7905,0.19999999999999998,0,3,6,0.3,3,3,0.3333
1,005014,0,0,0,1,2,1,337,11,0,2,4,17,45492,44666,14,0,0,9,12,1.0185,0.31029999999999996,3,0,1,0.5861999999999999,0,0,0.23529999999999998
0,005056,3,1,0,5,1,4,246,2,1,1,1,2,149,149,3,2,0,1,1,1,0.1429,2,0,4,0.28569999999999995,1,1,0.5
0,005222,0,0,0,0,11,1,185,11,0,1,4,11,16167,69969,20,0,0,0,2,0.2311,0.75,0,0,1,0.5499999999999999,0,0,0.3636
1,005261,1,1,0,1,1,0,134,3,1,3,7,16,35996,42432,18,0,0,9,11,0.8482999999999999,0.3846,3,0,0,0.6154,0,0,0.4375
0,005311,0,0,0,5,1,2,156,10,0,2,8,20,10641,55166,28,0,0,1,1,0.1929,0.8928999999999999,0,0,2,0.7142999999999999,0,0,0.39999999999999997
1,005430,5,3,0,4,1,11,89,3,1,3,6,7,13106,14161,14,0,0,4,5,0.9255,0.375,2,1,2,0.4375,6,2,0.8571
0,005450,0,0,0,1,0,0,109,12,0,1,6,11,25817,51304,20,0,0,3,4,0.5032,0.5909,0,0,0,0.5,0,0,0.5455
0,005483,0,0,0,1,1,2,280,17,0,0,2,18,68634,95766,33,0,0,6,8,0.7166999999999999,0.7273,0,0,1,0.5455,0,0,0.11109999999999999
0,005495,1,0,0,0,,0,251,5,0,2,3,6,50305,73498,11,4,3,3,4,0.6843999999999999,0.5333,0,3,7,0.39999999999999997,3,3,0.5
1,005564,0,0,0,4,2,3,118,11,0,1,1,2,1087,1091,4,1,1,2,2,0.9963,0.5,0,1,1,0.3333,1,1,0.5
0,005570,7,5,1,2,1,0,138,15,0,0,3,4,14505,23518,7,1,0,0,1,0.6167999999999999,0.6667,0,0,2,0.44439999999999996,5,0,0.75
0,005621,0,0,0,2,0,2,231,4,0,1,1,1,851,890,6,0,0,1,1,0.9561999999999999,0.28569999999999995,0,0,2,0.1429,0,0,1
0,005639,0,0,0,4,0,1,148,5,0,3,4,13,15456,18561,17,6,5,3,3,0.8327,0.3913,3,7,10,0.5651999999999999,7,8,0.3077
1,005641,0,0,0,10,1,3,87,3,1,2,4,11,16223,19849,13,0,0,4,7,0.8172999999999999,0.6,2,0,1,0.7333,0,1,0.3636
0,005682,5,5,0,2,1,5,114,5,0,2,2,3,7852,9221,4,0,0,2,2,0.8514999999999999,0.75,0,0,0,0.75,3,0,0.6667
0,005723,0,0,0,1,1,2,162,5,0,1,3,6,23139,43352,9,0,0,3,3,0.5337,0.6364,0,0,1,0.5455,0,0,0.5
0,005739,2,0,0,4,2,3,151,5,0,3,4,13,42981,52684,24,1,1,8,9,0.8158,0.37039999999999995,3,1,6,0.4815,1,1,0.3077
0,005749,0,0,0,4,1,11,258,5,0,4,7,6,14164,15874,23,0,0,4,4,0.8923,0.5,0,0,1,0.25,0,0,1.1666999999999998
1,005759,4,1,1,2,0,5,201,22,0,0,1,1,0,0,2,1,0,0,0,0,0.3333,0,0,2,0.3333,1,0,1
0,005808,3,3,0,0,11,1,295,10,0,1,1,3,903,1004,5,1,1,1,1,0.8994,0.3333,2,1,2,0.5,3,2,0.3333
1,005881,3,1,0,4,1,3,234,30,0,0,0,5,11288,21709,6,3,2,3,4,0.5199999999999999,0.1818,2,4,5,0.45449999999999996,5,5,0
0,005893,2,0,0,2,2,5,165,10,0,1,5,10,4664,15497,17,0,0,0,2,0.301,0.5713999999999999,3,0,3,0.47619999999999996,1,0,0.5
0,005924,0,0,0,1,0,3,116,7,0,1,3,5,18696,21509,8,0,0,2,2,0.8692,0.39999999999999997,0,1,4,0.5,1,1,0.6
0,005971,0,0,0,2,4,1,121,13,0,0,4,7,26115,39464,19,2,0,3,4,0.6617,0.38099999999999995,3,0,7,0.3333,0,0,0.5713999999999999
0,005981,1,0,0,0,,0,228,77,0,0,0,1,509,2300,5,0,0,0,0,0.2213,0.1667,0,0,0,0.1667,0,0,0
0,006056,1,0,1,1,5,2,178,19,0,0,1,5,17874,24691,9,12,1,2,3,0.7239,0.3636,0,1,13,0.22729999999999997,1,1,0.19999999999999998
0,006088,3,3,0,6,1,2,63,8,0,2,4,6,20248,27636,11,0,0,3,3,0.7326999999999999,0.6667,0,0,0,0.5,1,0,0.6667
0,006160,1,0,0,0,13,1,122,16,0,0,2,7,6929,24076,10,0,0,3,4,0.28779999999999994,0.8332999999999999,0,0,0,0.5832999999999999,0,0,0.28569999999999995
0,006204,1,0,0,0,9,1,193,56,0,0,0,1,0,0,1,1,1,,,0,0,1,1,2,0.19999999999999998,1,1,0
0,006227,0,0,0,3,2,1,352,2,1,5,6,16,21883,56866,24,0,0,3,4,0.3848,0.5925999999999999,0,0,0,0.5925999999999999,0,0,0.375
0,006234,0,0,0,3,1,1,237,4,0,2,3,7,30625,36417,5,1,1,5,6,0.841,0.44439999999999996,1,1,1,0.7777999999999999,1,1,0.4286
0,006269,2,1,1,5,1,3,495,3,1,1,2,5,3363,4561,9,12,5,2,2,0.7373,0.0833,0,6,13,0.20829999999999999,6,6,0.39999999999999997
0,006275,1,1,0,1,1,0,200,12,0,1,4,6,8821,9987,11,0,0,4,4,0.8832,0.5,3,0,3,0.5,1,0,0.6667
1,006359,5,5,0,0,8,0,118,4,0,6,7,8,17200,23793,11,3,1,5,6,0.7229,0.6875,0,2,4,0.5,4,2,0.875
0,006376,0,0,0,4,2,3,167,5,0,2,8,10,53343,59851,22,0,0,8,8,0.8913,0.3846,3,0,0,0.3846,0,0,0.7999999999999999
0,006380,0,0,0,1,1,2,124,2,1,2,4,10,8388,14898,23,3,1,3,4,0.563,0.3448,1,1,7,0.3448,1,1,0.39999999999999997
0,006425,2,0,1,2,0,5,198,11,0,1,5,3,14726,20226,14,1,0,2,3,0.7281,0.5882,0,0,1,0.1765,0,0,1.6666999999999998
0,006543,1,0,0,0,13,3,234,12,0,1,2,10,24517,41285,28,0,0,5,6,0.5938,0.7241,0,1,2,0.3448,2,1,0.19999999999999998
1,006574,0,0,0,1,1,0,74,35,0,0,0,4,4963,12283,4,3,2,2,2,0.40409999999999996,0.1429,2,4,7,0.5713999999999999,4,5,0
0,006677,2,2,0,2,0,15,132,8,0,3,7,16,42597,72970,22,0,0,6,8,0.5838,0.6071,0,0,0,0.5713999999999999,1,0,0.4375
0,006685,5,2,1,1,2,0,124,2,1,3,6,9,54425,59421,12,15,7,5,5,0.9158999999999999,0.3448,0,7,16,0.31029999999999996,8,7,0.6667
0,006754,0,0,0,6,1,9,94,15,0,0,5,6,418,21018,14,0,0,0,0,0.019899999999999998,0.8571,0,0,0,0.4286,0,0,0.8332999999999999
0,006783,1,1,0,0,14,1,6,6,0,1,1,1,1612,5000,1,0,0,0,0,0.32239999999999996,1,0,0,0,1,0,0,1
0,006795,1,1,0,3,4,0,199,4,0,3,8,22,35116,48813,37,0,0,6,8,0.7193999999999999,0.5609999999999999,3,0,1,0.5366,1,1,0.3636
0,006815,2,0,1,2,1,3,124,65,0,0,0,1,0,668,1,3,1,,,0,0.19999999999999998,0,1,3,0.19999999999999998,3,1,0
0,006819,0,0,0,1,2,0,119,8,0,5,8,18,43932,64819,30,0,0,8,10,0.6778,0.6667,0,0,1,0.5455,0,0,0.44439999999999996
